className,craftingSkillGroup,status,suggested_progressionMatchName,candidates
armorAssassinBoots,Clothing,no_match_in_xml,,
armorAssassinGloves,Clothing,no_match_in_xml,,
armorAssassinHelmet,Clothing,no_match_in_xml,,
armorAthleticBoots,Clothing,no_match_in_xml,,
armorAthleticGloves,Clothing,no_match_in_xml,,
armorAthleticHelmet,Clothing,no_match_in_xml,,
armorBikerBoots,Clothing,no_match_in_xml,,
armorBikerGloves,Clothing,no_match_in_xml,,
armorBikerHelmet,Clothing,no_match_in_xml,,
armorCommandoBoots,Clothing,no_match_in_xml,,
armorCommandoGloves,Clothing,no_match_in_xml,,
armorCommandoHelmet,Clothing,no_match_in_xml,,
armorEnforcerBoots,Clothing,no_match_in_xml,,
armorEnforcerGloves,Clothing,no_match_in_xml,,
armorEnforcerHelmet,Clothing,no_match_in_xml,,
armorFarmerBoots,Clothing,no_match_in_xml,,
armorFarmerGloves,Clothing,no_match_in_xml,,
armorFarmerHelmet,Clothing,no_match_in_xml,,
armorLumberjackBoots,Clothing,no_match_in_xml,,
armorLumberjackGloves,Clothing,no_match_in_xml,,
armorLumberjackHelmet,Clothing,no_match_in_xml,,
armorMinerBoots,Clothing,no_match_in_xml,,
armorMinerGloves,Clothing,no_match_in_xml,,
armorMinerHelmet,Clothing,no_match_in_xml,,
armorNerdBoots,Clothing,no_match_in_xml,,
armorNerdGloves,Clothing,no_match_in_xml,,
armorNerdHelmet,Clothing,no_match_in_xml,,
armorNomadBoots,Clothing,no_match_in_xml,,
armorNomadGloves,Clothing,no_match_in_xml,,
armorNomadHelmet,Clothing,no_match_in_xml,,
armorPreacherBoots,Clothing,no_match_in_xml,,
armorPreacherGloves,Clothing,no_match_in_xml,,
armorPreacherHelmet,Clothing,no_match_in_xml,,
armorPrimitiveBoots,Clothing,no_match_in_xml,,
armorPrimitiveGloves,Clothing,no_match_in_xml,,
armorPrimitiveHelmet,Clothing,no_match_in_xml,,
armorRaiderBoots,Clothing,no_match_in_xml,,
