Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
lbcsWorldCraftingSkills,UI,Menu,x,,Crafting Skills,,,,,,,,,,,,
lbcsWorldCraftingSkillsTip,UI,Menu,x,,"World settings shared with everyone on this save when Gears is on the server. Each toggle turns restriction on or off for that crafting skill.",,,,,,,,,,,,
lbcsArmor,UI,Menu,x,,Armor,,,,,,,,,,,,
lbcsArmorTip,UI,Menu,x,,"When Armor is enabled, armor and clothing are restricted by the player's Armor crafting skill.",,,,,,,,,,,,
lbcsBows,UI,Menu,x,,Bows,,,,,,,,,,,,
lbcsBowsTip,UI,Menu,x,,"When Bows is enabled, bow weapons are restricted by the player's Bows crafting skill.",,,,,,,,,,,,
lbcsHandguns,UI,Menu,x,,Handguns,,,,,,,,,,,,
lbcsHandgunsTip,UI,Menu,x,,"When Handguns is enabled, handgun weapons are restricted by the player's Handguns crafting skill.",,,,,,,,,,,,
lbcsShotguns,UI,Menu,x,,Shotguns,,,,,,,,,,,,
lbcsShotgunsTip,UI,Menu,x,,"When Shotguns is enabled, shotgun weapons are restricted by the player's Shotguns crafting skill.",,,,,,,,,,,,
lbcsRifles,UI,Menu,x,,Rifles,,,,,,,,,,,,
lbcsRiflesTip,UI,Menu,x,,"When Rifles is enabled, rifle weapons are restricted by the player's Rifles crafting skill.",,,,,,,,,,,,
lbcsMachineGuns,UI,Menu,x,,Machine Guns,,,,,,,,,,,,
lbcsMachineGunsTip,UI,Menu,x,,"When Machine Guns is enabled, machine gun weapons are restricted by the player's MachineGuns crafting skill.",,,,,,,,,,,,
lbcsExplosives,UI,Menu,x,,Explosives,,,,,,,,,,,,
lbcsExplosivesTip,UI,Menu,x,,"When Explosives is enabled, explosive items are restricted by the player's Explosives crafting skill.",,,,,,,,,,,,
lbcsBlades,UI,Menu,x,,Blades,,,,,,,,,,,,
lbcsBladesTip,UI,Menu,x,,"When Blades is enabled, blade melee weapons are restricted by the player's Blades crafting skill.",,,,,,,,,,,,
lbcsClubs,UI,Menu,x,,Clubs,,,,,,,,,,,,
lbcsClubsTip,UI,Menu,x,,"When Clubs is enabled, club melee weapons are restricted by the player's Clubs crafting skill.",,,,,,,,,,,,
lbcsSpears,UI,Menu,x,,Spears,,,,,,,,,,,,
lbcsSpearsTip,UI,Menu,x,,"When Spears is enabled, spear melee weapons are restricted by the player's Spears crafting skill.",,,,,,,,,,,,
lbcsSledgehammers,UI,Menu,x,,Sledgehammers,,,,,,,,,,,,
lbcsSledgehammersTip,UI,Menu,x,,"When Sledgehammers is enabled, sledgehammer weapons are restricted by the player's Sledgehammers crafting skill.",,,,,,,,,,,,
lbcsKnuckles,UI,Menu,x,,Knuckles,,,,,,,,,,,,
lbcsKnucklesTip,UI,Menu,x,,"When Knuckles is enabled, knuckle weapons are restricted by the player's Knuckles crafting skill.",,,,,,,,,,,,
lbcsHarvestingTools,UI,Menu,x,,Harvesting Tools,,,,,,,,,,,,
lbcsHarvestingToolsTip,UI,Menu,x,,"When Harvesting Tools is enabled, harvesting tools are restricted by the player's HarvestingTools crafting skill.",,,,,,,,,,,,
lbcsRepairTools,UI,Menu,x,,Repair Tools,,,,,,,,,,,,
lbcsRepairToolsTip,UI,Menu,x,,"When Repair Tools is enabled, repair tools are restricted by the player's RepairTools crafting skill.",,,,,,,,,,,,
lbcsSalvageTools,UI,Menu,x,,Salvage Tools,,,,,,,,,,,,
lbcsSalvageToolsTip,UI,Menu,x,,"When Salvage Tools is enabled, salvage tools are restricted by the player's SalvageTools crafting skill.",,,,,,,,,,,,
lbcsSeeds,UI,Menu,x,,Seeds,,,,,,,,,,,,
lbcsSeedsTip,UI,Menu,x,,"When Seeds is enabled, seeds and planting are restricted by the player's Seeds crafting skill.",,,,,,,,,,,,
lbcsTraps,UI,Menu,x,,Traps,,,,,,,,,,,,
lbcsTrapsTip,UI,Menu,x,,"When Traps is enabled, traps are restricted by the player's Traps crafting skill.",,,,,,,,,,,,
lbcsRobotics,UI,Menu,x,,Robotics,,,,,,,,,,,,
lbcsRoboticsTip,UI,Menu,x,,"When Robotics is enabled, robotics items are restricted by the player's Robotics crafting skill.",,,,,,,,,,,,
lbcsWorkstations,UI,Menu,x,,Workstations,,,,,,,,,,,,
lbcsWorkstationsTip,UI,Menu,x,,"When Workstations is enabled, opening workstations is restricted by the player's Workstations crafting skill.",,,,,,,,,,,,
lbcsVehicles,UI,Menu,x,,Vehicles,,,,,,,,,,,,
lbcsVehiclesTip,UI,Menu,x,,"When Vehicles is enabled, driving vehicles is restricted by the player's Vehicles crafting skill.",,,,,,,,,,,,
lbcsElectrician,UI,Menu,x,,Electrician,,,,,,,,,,,,
lbcsElectricianTip,UI,Menu,x,,"When Electrician is enabled, electrician items are restricted by the player's Electrician crafting skill.",,,,,,,,,,,,
lbcsMedical,UI,Menu,x,,Medical,,,,,,,,,,,,
lbcsMedicalTip,UI,Menu,x,,"When Medical is enabled, medical consumables are restricted by the player's Medical crafting skill. Off by default.",,,,,,,,,,,,
lbcsFood,UI,Menu,x,,Food,,,,,,,,,,,,
lbcsFoodTip,UI,Menu,x,,"When Food is enabled, food and drink are restricted by the player's Food crafting skill. Off by default.",,,,,,,,,,,,
lbcsTabClient,UI,Menu,x,,Client,,,,,,,,,,,,
lbcsTabClientTip,UI,Menu,x,,"Settings that apply only on this computer and are not synced to other players.",,,,,,,,,,,,
lbcsCategoryDebug,UI,Menu,x,,Debug,,,,,,,,,,,,
lbcsCategoryDebugTip,UI,Menu,x,,"Logging options for this client only.",,,,,,,,,,,,
lbcsDebugMode,UI,Menu,x,,Debug Mode,,,,,,,,,,,,
lbcsDebugModeTip,UI,Menu,x,,"When Debug Mode is enabled, Limit by Crafting Skill writes extra detail to the game log on this client.",,,,,,,,,,,,
